rootX,rootY,rootZ,neckX,neckY,neckZ,headX,headY,headZ,torsoX,torsoY,torsoZ,lshoulderX,lshoulderY,lshoulderZ,lelbowX,lelbowY,lelbowZ,lwristX,lwristY,lwristZ,lhandX,lhandY,lhandZ,rshoulderX,rshoulderY,rshoulderZ,relbowX,relbowY,relbowZ,rwristX,rwristY,rwristZ,rhandX,rhandY,rhandZ
-0.0146129,1.11512,0.0451611,-0.0146129,1.11512,0.0451611,-0.0553863,1.30719,0.00700006,-0.0146129,0.71507,0.0451611,0.160744,1.07831,0.0625681,0.239282,0.89561,0.0840731,0.127385,1.01073,0.203388,0.0714356,1.06829,0.263046,-0.18997,1.07831,0.0625681,-0.233634,0.889489,0.112065,-0.0533021,0.82581,0.170677,0.0368644,0.79397,0.199983
-0.0176685,1.11512,0.0459314,-0.0176685,1.11512,0.0459314,-0.0601619,1.30561,0.00215578,-0.0176685,0.71507,0.0459314,0.157688,1.07831,0.0633384,0.231834,0.896419,0.101129,0.116034,1.01461,0.213515,0.0581336,1.07371,0.269708,-0.193025,1.07831,0.0633384,-0.234866,0.889448,0.114233,-0.0522979,0.82604,0.16579,0.0389869,0.794336,0.191569
-0.0200785,1.11512,0.0452605,-0.0200785,1.11512,0.0452605,-0.0654573,1.30365,-0.003796,-0.0200785,0.71507,0.0452605,0.155279,1.07831,0.0626675,0.223351,0.897384,0.114067,0.104722,1.01557,0.223471,0.0454065,1.07466,0.278174,-0.195435,1.07831,0.0626675,-0.236093,0.889612,0.115106,-0.0511617,0.82732,0.159038,0.0413045,0.796173,0.181004
-0.0225979,1.11512,0.0453878,-0.0225979,1.11512,0.0453878,-0.0711766,1.30154,-0.00843206,-0.0225979,0.71507,0.0453878,0.152759,1.07831,0.0627948,0.21559,0.897595,0.121141,0.0942511,1.01299,0.230555,0.0335813,1.07068,0.285262,-0.197955,1.07831,0.0627948,-0.237705,0.889446,0.115331,-0.0502076,0.830438,0.152383,0.0435415,0.800933,0.170908
-0.0251809,1.11566,0.0469931,-0.0251809,1.11566,0.0469931,-0.075599,1.30045,-0.0106342,-0.0251809,0.71561,0.0469931,0.150176,1.07885,0.0644001,0.209415,0.89685,0.122509,0.0841817,1.00747,0.232462,0.0215649,1.06278,0.287438,-0.200538,1.07885,0.0644001,-0.239754,0.889353,0.115024,-0.0498639,0.835637,0.147681,0.0450814,0.808778,0.164009
-0.027179,1.11726,0.0489531,-0.027179,1.11726,0.0489531,-0.0777637,1.30135,-0.0107232,-0.027179,0.71721,0.0489531,0.148178,1.08045,0.0663601,0.203591,0.895878,0.119954,0.0735779,1.00031,0.23041,0.00857098,1.05253,0.285639,-0.202536,1.08045,0.0663601,-0.242025,0.890095,0.113428,-0.0509592,0.841748,0.147582,0.0445741,0.817574,0.164659
-0.0282366,1.12073,0.050748,-0.0282366,1.12073,0.050748,-0.0769457,1.30526,-0.00912482,-0.0282366,0.72068,0.050748,0.14712,1.08392,0.068155,0.19708,0.896069,0.115336,0.0616498,0.992394,0.226648,-0.0060656,1.04056,0.282304,-0.203594,1.08392,0.068155,-0.243944,0.892671,0.110648,-0.0540862,0.846838,0.153817,0.040843,0.823922,0.175401
-0.0286446,1.12623,0.0529244,-0.0286446,1.12623,0.0529244,-0.0735479,1.31225,-0.00528956,-0.0286446,0.72618,0.0529244,0.146712,1.08942,0.0703314,0.190361,0.898454,0.110786,0.0494405,0.98456,0.223645,-0.02102,1.02761,0.280074,-0.204002,1.08942,0.0703314,-0.244714,0.897332,0.108471,-0.058889,0.849679,0.165111,0.0340241,0.825852,0.193431
-0.0287802,1.1321,0.0560553,-0.0287802,1.1321,0.0560553,-0.0685924,1.32063,0.00237308,-0.0287802,0.73205,0.0560553,0.146577,1.09529,0.0734623,0.184961,0.90202,0.107862,0.0389184,0.976951,0.222173,-0.0341031,1.01442,0.279329,-0.204137,1.09529,0.0734623,-0.244289,0.90259,0.109021,-0.0636776,0.849991,0.177012,0.0266287,0.823691,0.211008
-0.0282366,1.13601,0.0600695,-0.0282366,1.13601,0.0600695,-0.0630909,1.32754,0.0141217,-0.0282366,0.73596,0.0600695,0.14712,1.0992,0.0774765,0.183437,0.9047,0.106818,0.0320936,0.968752,0.220847,-0.0435782,1.00078,0.277862,-0.203594,1.0992,0.0774765,-0.243192,0.906311,0.112625,-0.0663103,0.848175,0.185721,0.0221312,0.819108,0.222269
