rootX,rootY,rootZ
0.0735193,0,-0.178331
0.0285357,0,-0.152615
0.00924164,0,-0.126707
-0.00449728,0,-0.105314
-0.0305726,0,-0.0872171
-0.068009,0,-0.0681569
-0.107988,0,-0.0478403
-0.112742,0,-0.0210918
-0.0493987,0,0.0227071
0.0493987,0.00134975,0.0686626
0.112742,-0.00679792,0.0814593
0.108327,-0.0247008,0.0530443
0.0656368,-0.0392005,-0.00384921
0.0275227,-0.0345224,-0.0815773
0.00822147,0.0255493,-0.154034
0.00101313,0.131299,-0.209343
-0.000338883,0.206651,-0.250527
0,0.176075,-0.266767
0,0.0449735,-0.244576
0,-0.0933737,-0.183657
0,-0.1453,-0.116244
0,-0.0988261,-0.0636879
0,0.000777245,-0.0319881
0,0.10795,-0.0165563
0,0.178276,0.00264804
0,0.185301,0.0511817
0,0.137075,0.129941
0,0.073424,0.200725
0,0.0286493,0.223794
0,0.00790209,0.195631
0,0.000899733,0.143694
0,-0.00032574,0.0931957
0,8.94071e-07,0.0560101
0,8.94071e-07,0.0296073
0,8.94071e-07,0.00941449
0,8.94071e-07,-0.00235598
0.00135905,0.00135094,-0.00339576
-0.0055104,-0.00544936,0.012356
-0.0302337,-0.0287751,0.0491103
-0.0666499,-0.0736234,0.0994178
-0.113499,-0.136925,0.156713
-0.141617,-0.186177,0.203455
-0.122917,-0.1862,0.209064
-0.0874655,-0.13675,0.165588
-0.0735191,-0.0734494,0.104492
-0.0779331,-0.0284481,0.0588256
-0.0712268,-0.00925125,0.037447
-0.0459973,0.00704885,0.0340195
-0.0203138,0.0169006,0.0398276
-0.00686905,0.0213,0.042307
5.99307e-06,0.0186497,0.0265031
-0.00517099,-0.0138495,-0.00471171
-0.0288747,-0.049449,-0.0417078
-0.0735191,-0.0494519,-0.0916441
-0.136863,-0.0138509,-0.163413
-0.187621,0.0183258,-0.237347
-0.18075,0.0242263,-0.271958
-0.107988,0.0139511,-0.245413
0.00135901,0.0055492,-0.177385
0.102817,0.00157356,-0.100783
0.149502,-0.00032425,-0.0375693
0.111729,0,0.0126753
0.000338778,0,0.0639228
-0.112741,0,0.110485
-0.159083,0,0.126544
-0.122113,0,0.0994616
-0.0505012,0,0.046274
0.0212818,0,-0.0050087
0.0856942,0,-0.035045
0.116392,0,-0.0408328
0.108329,0,-0.0328641
0.0633436,0,-0.0192467
-0.0153055,0,-0.000721976
-0.0888704,0,0.019284
-0.104521,0,0.033743
-0.0416771,0,0.0367233
0.0698758,0.00134975,0.029293
0.159077,-0.00679792,0.0105988
0.178038,-0.0233507,-0.0102578
0.135851,-0.0446508,-0.0324698
0.0752188,-0.0632984,-0.0584113
0.0216668,-0.0494501,-0.0601138
-0.0154835,0,-0.0304576
-0.043632,0.0494498,0.00825947
-0.0636825,0.0632981,0.0265753
-0.0493972,0.046351,0.0119093
-1.86265e-08,0.0151014,-0.023519
0.0493973,-0.0219786,-0.0637926
0.0633438,-0.072175,-0.105643
0.0449831,-0.137273,-0.14556
0.0206548,-0.186175,-0.15795
0.00822801,-0.1862,-0.124366
-0.00415901,-0.13675,-0.0622281
-0.0292135,-0.0734494,-0.00729172
-0.0735191,-0.0284481,0.0278076
-0.136863,-0.00790239,0.0503059
-0.186262,-0.00110149,0.0697384
-0.187621,0.000350476,0.0964015
-0.131353,0,0.133869
