rootX,rootY,rootZ
-2.44438,0.0104189,1.50167
-3.71795,-0.000810625,1.54591
-2.60384,0,1.03546
-0.0603274,0,-0.176347
1.83658,0,-1.31666
2.25594,0,-1.68544
2.12765,0,-1.27564
1.50513,0,-0.518638
0.347543,0,0.0792138
-0.808472,0,0.345914
-1.95954,0,0.49255
-2.51216,0,0.604098
-1.52176,0,0.549376
0.730914,-0.00337437,0.273748
2.86807,0.0439898,-0.0672877
3.30869,-0.0775816,-0.412489
1.71943,-0.382383,-0.618033
-0.477888,-0.595437,-0.642111
-1.71286,-0.692323,-0.78629
-1.79988,-0.154364,-0.502382
-1.36534,1.03072,0.457252
-0.958724,1.66151,1.155
-0.786321,1.02646,0.9606
-0.154013,-0.0997307,0.0556494
1.04108,-0.785363,-0.821757
1.65833,-1.02791,-1.18349
1.03093,-1.28647,-1.2488
-0.139921,-1.8027,-1.29928
-0.750858,-1.86945,-0.894702
-0.566344,-0.817093,0.315353
-0.310784,0.828937,1.56876
-0.513396,1.86069,1.8771
-1.02448,1.7203,1.36404
-1.69773,0.971819,0.822037
-1.85884,0.362433,0.579385
-0.87058,0.0939371,0.656759
0.867642,0.00227392,0.980894
2.28142,-0.00976326,1.18976
2.73521,0.00087619,0.909508
2.68102,0,0.248554
2.22719,0,-0.504077
0.922636,0,-1.27996
-0.829016,0,-1.89084
-1.86978,0,-1.99727
-1.71978,0,-1.42023
-0.973162,0.00337512,-0.42389
-0.365822,-0.0406266,0.321521
-0.0930609,0.0370652,0.384793
-0.000541658,0.41846,-0.188029
0.00930617,1.01779,-0.953445
-0.000846946,1.70782,-1.1459
-8.88179e-15,1.90145,-0.330148
-8.88179e-15,0.750013,0.777256
-8.88179e-15,-1.21214,1.23799
-8.88179e-15,-2.45607,0.899867
-8.88179e-15,-2.41272,0.163088
-8.88179e-15,-1.12618,-0.0180941
-8.88179e-15,0.668332,0.58067
-8.88179e-15,1.56757,0.910612
-8.88179e-15,1.02419,0.354317
-8.88179e-15,-0.0899675,-0.404751
-8.88179e-15,-0.786239,-0.662487
0.00339752,-1.02791,-0.56743
-0.0443528,-1.28647,-0.598256
0.0823671,-1.8027,-0.862288
0.3419,-1.86945,-0.731525
0.631802,-0.817093,0.0445519
1.11414,0.828937,0.941489
1.16806,1.86069,1.26759
0.676121,1.7203,0.773929
0.202198,0.971819,0.180761
-0.201304,0.362433,0.118198
-0.689687,0.0939371,0.462418
-1.11305,0.00227392,0.686062
-1.1133,-0.00976326,0.3106
-0.700392,0.00087619,-0.498211
-0.273273,0,-1.07565
-0.0832236,0,-0.999939
-0.0107138,0,-0.413481
0.0101577,0,0.224871
-0.000847208,0.00337512,0.503102
0,-0.0406266,0.350351
0,0.0370652,-0.0825105
0,0.41846,-0.489467
0,1.01435,-0.560467
0,1.75275,-0.332116
0,1.81743,0.0138754
0,0.404202,0.41444
0,-1.84051,0.7606
0,-3.56226,0.734973
0,-3.62361,0.123704
0,-1.72,-0.62935
0,0.843447,-0.728229
0,2.35505,-0.0865804
0,2.41539,0.637342
0,1.13899,0.842197
0,-0.670099,0.507195
0,-1.56756,0.0240538
0,-1.02755,-0.439735
0,0.130581,-0.981976
0,0.749236,-1.43057
0,0.609389,-1.26416
0,0.268592,-0.36274
0,0.0916542,0.690839
0,0.0120133,1.13313
0,-0.0106365,0.865935
0,0.00087619,0.534821
0,0,0.658878
0,0,1.07506
0,0,1.08956
0,0,0.491249
0,0,-0.293708
0,0,-0.918539
0,0,-1.22995
0,0,-1.1894
0,0,-0.788429
0,0,-0.174106
0,0,0.220937
0,0,0.324339
0,0,0.353748
0,0,0.227422
0,0,-0.0551504
0,0,-0.337979
-0.00339763,0,-0.445724
0.0409571,0,-0.291709
-0.0346238,0,-0.0910024
-0.461834,0,0.00642273
-0.980001,0,0.0727325
-1.24266,0,0.0913837
-0.929134,0,0.22655
0.536415,0,0.737294
2.05921,0.00337512,1.27583
1.57594,-0.0406266,1.14158
-0.277082,0.0336275,0.284584
-1.56013,0.463463,-0.565451
-1.60135,0.936094,-0.649313
-0.599681,1.3288,0.0121079
