RootX,RootY,RootZ,neckX,neckY,neckZ,headX,headY,headZ,torsoX,torsoY,torsoZ,lshoulderX,lshoulderY,lshoulderZ,lelbowX,lelbowY,lelbowZ,lwristX,lwristY,lwristZ,lhandX,lhandY,lhandZ,rshoulderX,rshoulderY,rshoulderZ,relbowX,relbowY,relbowZ,rwristX,rwristY,rwristZ,rhandX,rhandY,rhandZ
-4.24276,0.986472,486.989,-25.7784,6.20655,11.8525,-15.2036,4.97292,5.56905,0,0,0,-20.8481,4.62183,24.2525,-5.40228,-7.93907,0.742989,9.92093,4.54884,-1.24196,4.96047,2.05032,-1.11588,-29.9096,6.94744,-22.5145,-8.03457,21.0915,-10.2718,6.88398,13.9489,-4.69903,3.44199,6.91432,-1.72512
-3.40886,0.339306,496.217,-19.842,4.7068,5.85145,-12.5249,3.76403,2.7218,0,0,0,-25.1725,10.3169,26.0598,-10.3371,-7.95697,5.34861,11.585,4.58725,1.71196,5.79248,2.07746,0.321992,-54.4572,1.94377,-53.333,-5.92686,4.94973,-12.6587,21.8299,3.42851,-5.94276,10.915,1.74424,-2.24465
-0.897278,0.118306,504.765,-1.75133,2.22395,0.54973,-4.1537,1.22684,0.193639,0,0,0,-40.4223,22.4446,40.4926,-20.3832,-7.30124,11.9672,20.0619,4.18297,5.86343,10.0309,1.88602,2.31474,-48.2668,-1.27589,-50.6333,-2.89355,-5.01409,-9.39165,20.9758,-3.05127,-3.83843,10.4879,-1.43607,-1.21764
0.603927,0.50998,503.765,11.7661,0.445627,-1.32018,2.10892,-0.631214,-0.700061,0,0,0,-40.2944,19.9008,42.2707,-17.9768,-6.41252,9.11603,20.3872,3.66215,3.9813,10.1936,1.64802,1.38251,-22.8011,-5.06789,-22.9823,-5.89701,-2.67626,-8.37741,7.36538,-1.49847,-3.45235,3.68269,-0.664448,-1.10824
0.679732,0.710259,490.984,11.3376,0.512958,-1.64782,1.91132,-0.56234,-0.855796,0,0,0,-18.2315,-8.66658,25.72,5.832,-4.94079,-10.2353,8.06808,2.80202,-8.45596,4.03404,1.25503,-4.67889,7.09409,-7.59423,12.26,-11.6746,7.1509,-8.54234,-10.2773,4.94939,-3.9131,-5.13865,2.51689,-1.43824
1.18603,0.395494,476.883,2.11172,1.72496,-3.70494,-2.36527,0.703063,-1.83591,0,0,0,12.0844,-43.3572,5.90162,36.0419,-8.42759,-34.3241,-7.36957,5.17617,-23.926,-3.68478,2.4514,-12.2145,19.2904,-7.38014,29.082,-16.3119,16.8014,-10.3275,-18.9847,11.2684,-5.24943,-9.49236,5.63102,-2.14587
3.62283,3.34428,475.757,-2.25544,2.13707,-9.60421,-4.40486,1.2146,-4.64993,0,0,0,8.34626,-56.6127,1.63481,43.2745,6.68167,-39.9736,-11.1021,-4.67326,-27.5487,-5.55106,-2.39,-13.9772,6.53996,-4.92444,17.3339,-17.1997,19.1021,-13.21,-13.4714,12.7521,-7.01663,-6.73572,6.35571,-2.9816
7.85283,8.23059,488.872,4.92434,0.92582,-16.8592,-1.08866,0.137859,-8.11192,0,0,0,-38.2592,-37.3231,16.554,16.8206,43.6021,-18.7704,1.36245,-28.8717,-13.9017,0.681224,-14.3219,-7.32063,-12.9852,3.47167,-7.70865,-6.68908,8.7211,-6.86128,0.126663,5.93152,-2.63121,0.0633314,2.98782,-0.753577
9.89299,7.30732,503.039,12.9107,-0.153031,-17.7332,2.6418,-0.802873,-8.52259,0,0,0,-62.6167,10.8269,26.1563,-24.3289,47.5998,17.8355,14.6205,-31.5951,9.84045,7.31023,-15.6952,4.31367,-28.4734,10.5086,-31.7906,6.53457,-6.75782,2.89334,13.4283,-4.21574,3.96403,6.71415,-2.01649,2.55713
5.09818,1.66497,507.578,12.931,-0.0204435,-7.82028,2.67613,-0.568278,-3.77825,0,0,0,-39.356,47.2256,15.2527,-44.8806,14.5522,40.3784,13.6675,-10.0567,24.6596,6.83374,-5.11043,11.6347,-39.0411,6.64173,-46.634,7.04734,-14.327,1.54336,20.5513,-9.19376,3.21732,10.2756,-4.47627,2.22875
